id,user_id,lesson_id,block_id,completed,updated_at
1,Flo,123,block-f6i5thc3,1,2025-04-13 21:46:58.859556
3,Flo,123,block-xq9pumin,1,2025-04-13 21:46:53.151717
11,Flo,123,block-l8jgvi63,1,2025-04-13 21:46:55.384231
90,Flo,122,block-cm1istn5,1,2025-04-13 21:53:08.102492
95,Flo,124,block-6ii8zzs6,1,2025-04-13 21:56:44.531005
101,Flo,124,block-5ycq8gmc,1,2025-04-13 21:56:47.335910
125,Flo,125,block-n3fuqynh,1,2025-04-13 22:02:38.352980
129,Flo,125,block-4m4rjome,1,2025-04-13 22:02:31.761212
131,Flo,125,block-e0qce598,1,2025-04-13 22:02:30.818950
136,Flo,127,block-hrf3w0u1,1,2025-04-13 22:04:28.181269
137,Flo,127,block-357exgay,1,2025-04-13 22:04:30.259495
138,Flo,127,block-z14awxuk,1,2025-04-13 22:04:31.822238
139,Flo,127,block-0ayiq7cy,1,2025-04-13 22:04:33.482458
140,Flo,127,block-1ogp7pc3,1,2025-04-13 22:04:35.079620
141,Flo,127,block-ykuhuomx,1,2025-04-13 22:04:36.584529
142,Flo,127,block-8nxtw6rg,1,2025-04-13 22:04:48.665620
